companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Acushnet Holdings Corp.,GOLF,12/01/2022,12/16/2022,12/02/2022,0.18,0.72,N/A
Alliance National Municipal Income Fund Inc,AFB,12/01/2022,12/16/2022,12/02/2022,0.033,0.551,11/21/2022
"American National Bankshares, Inc.",AMNB,12/01/2022,12/16/2022,12/02/2022,0.3,1.2,11/16/2022
"AMERISAFE, Inc.",AMSF,12/01/2022,12/16/2022,12/02/2022,4.31,1.24,10/26/2022
Bank of America Corporation,BAC,12/01/2022,12/30/2022,12/02/2022,0.22,0.88,10/19/2022
Baxter International Inc.,BAX,12/01/2022,01/03/2023,12/02/2022,0.29,1.16,11/15/2022
Bridge Investment Group Holdings Inc.,BRDG,12/01/2022,12/16/2022,12/02/2022,0.27,1.08,11/08/2022
Brown Forman Corporation,BF.B,12/01/2022,01/03/2023,12/02/2022,0.206,0.822,11/17/2022
Brown Forman Corporation,BF.A,12/01/2022,01/03/2023,12/02/2022,0.206,0.822,11/17/2022
"C.H. Robinson Worldwide, Inc.",CHRW,12/01/2022,01/03/2023,12/02/2022,0.61,2.44,11/17/2022
"Churchill Downs, Incorporated",CHDN,12/01/2022,01/06/2023,12/02/2022,0.714,0.714,10/26/2022
National Steel Company,SID,12/01/2022,N/A,12/02/2022,0.201,0.371,11/22/2022
"Commerce Bancshares, Inc.",CBSH,12/01/2022,12/16/2022,12/02/2022,0.265,1.06,10/28/2022
"Covenant Logistics Group, Inc.",CVLG,12/01/2022,12/30/2022,12/02/2022,0.08,0.32,11/16/2022
Cresud S.A.C.I.F. y A.,CRESY,12/01/2022,N/A,N/A,0.136,0.136,N/A
"D.R. Horton, Inc.",DHI,12/01/2022,12/12/2022,12/02/2022,0.25,1.0,11/09/2022
"Dominion Energy, Inc.",D,12/01/2022,12/20/2022,12/02/2022,0.668,2.67,11/03/2022
"Eastern Bankshares, Inc.",EBC,12/01/2022,12/15/2022,12/02/2022,0.1,0.4,10/27/2022
Fidus Investment Corporation,FDUS,12/01/2022,12/16/2022,12/02/2022,0.61,1.44,11/03/2022
"First Financial Northwest, Inc.",FFNW,12/01/2022,12/16/2022,12/02/2022,0.12,0.48,11/14/2022
